epoch,batch,loss,lr,time
# RESTART AT EPOCH 4
4,0,0.243623,5.87036775e-05,4.75
4,2,0.263419,5.87012801e-05,5.48
4,4,0.282275,5.86988826e-05,5.96
4,6,0.290191,5.86964816e-05,6.45
4,8,0.285981,5.86940841e-05,6.95
4,10,0.277127,5.86916867e-05,7.45
4,12,0.327670,5.86892857e-05,7.94
4,14,0.267843,5.86868882e-05,8.46
4,16,0.294396,5.86844872e-05,9.09
4,18,0.249527,5.86820897e-05,9.58
4,20,0.307392,5.86796923e-05,10.17
4,22,0.262565,5.86772912e-05,10.70
4,24,0.292095,5.86748938e-05,11.27
4,26,0.250279,5.86724891e-05,11.76
4,28,0.251410,5.86700917e-05,12.23
4,30,0.255699,5.86676906e-05,12.78
4,32,0.271411,5.86652895e-05,13.26
4,34,0.282571,5.86628885e-05,13.78
4,36,0.276681,5.86604910e-05,14.33
4,38,0.294550,5.86580863e-05,14.90
4,40,0.259549,5.86556816e-05,15.53
4,42,0.270974,5.86532842e-05,16.12
4,44,0.211641,5.86508795e-05,16.62
4,46,0.258190,5.86484821e-05,17.07
4,48,0.284842,5.86460774e-05,17.59
4,50,0.251056,5.86436763e-05,18.08
4,52,0.267773,5.86412716e-05,18.54
4,54,0.274643,5.86388669e-05,19.01
4,56,0.278342,5.86364658e-05,19.54
4,58,0.268478,5.86340611e-05,20.00
4,60,0.290416,5.86316601e-05,20.44
4,62,0.276678,5.86292554e-05,20.97
4,64,0.262318,5.86268507e-05,21.46
4,66,0.313052,5.86244496e-05,21.99
4,68,0.236044,5.86220449e-05,22.53
4,70,0.271034,5.86196402e-05,23.09
4,72,0.259941,5.86172355e-05,23.62
4,74,0.291763,5.86148271e-05,24.25
4,76,0.320160,5.86124261e-05,24.72
4,78,0.264736,5.86100214e-05,25.18
4,80,0.258131,5.86076130e-05,25.64
4,82,0.291643,5.86052047e-05,26.14
4,84,0.294112,5.86028036e-05,26.60
4,86,0.333321,5.86003953e-05,27.08
4,88,0.250953,5.85979869e-05,27.61
4,90,0.256792,5.85955822e-05,28.12
4,92,0.219142,5.85931739e-05,28.62
4,94,0.274062,5.85907692e-05,29.09
4,96,0.278170,5.85883572e-05,29.58
4,98,0.239771,5.85859561e-05,30.06
4,100,0.252756,5.85835442e-05,30.54
4,102,0.276863,5.85811395e-05,31.07
4,104,0.281751,5.85787275e-05,31.51
4,106,0.251418,5.85763228e-05,32.07
4,108,0.275621,5.85739144e-05,32.57
4,110,0.271215,5.85715024e-05,33.05
4,112,0.244210,5.85690941e-05,33.59
4,114,0.251666,5.85666858e-05,34.10
4,116,0.299698,5.85642774e-05,34.58
4,118,0.284650,5.85618654e-05,35.09
4,120,0.241302,5.85594571e-05,35.57
4,122,0.267126,5.85570488e-05,36.09
4,124,0.280594,5.85546368e-05,36.55
4,126,0.252261,5.85522248e-05,37.02
4,128,0.245708,5.85498128e-05,37.56
4,130,0.248141,5.85474081e-05,38.05
4,132,0.256765,5.85449998e-05,38.55
4,134,0.268740,5.85425878e-05,39.04
4,136,0.234820,5.85401758e-05,39.52
4,138,0.244717,5.85377638e-05,40.01
4,140,0.249019,5.85353519e-05,40.51
4,142,0.267398,5.85329435e-05,40.98
4,144,0.305557,5.85305243e-05,41.54
4,146,0.248093,5.85281159e-05,42.09
4,148,0.264881,5.85257039e-05,42.59
4,150,0.248458,5.85232883e-05,43.07
4,152,0.262535,5.85208763e-05,43.57
4,154,0.298625,5.85184644e-05,44.04
4,156,0.295502,5.85160524e-05,44.53
4,158,0.247838,5.85136368e-05,45.01
4,160,0.269202,5.85112211e-05,45.53
4,162,0.266453,5.85088092e-05,46.02
4,164,0.245093,5.85063935e-05,46.53
4,166,0.268572,5.85039779e-05,47.00
4,168,0.339215,5.85015659e-05,47.52
4,170,0.275978,5.84991503e-05,47.97
4,172,0.236194,5.84967347e-05,48.44
4,174,0.245997,5.84943227e-05,48.87
4,176,0.278845,5.84919035e-05,49.40
4,178,0.257013,5.84894915e-05,49.84
4,180,0.276898,5.84870722e-05,50.34
4,182,0.278845,5.84846603e-05,50.83
4,184,0.286396,5.84822410e-05,51.29
4,186,0.290660,5.84798254e-05,51.77
4,188,0.241609,5.84774098e-05,52.26
4,190,0.278485,5.84749869e-05,52.79
4,192,0.296612,5.84725749e-05,53.26
4,194,0.277553,5.84701556e-05,53.73
4,196,0.256428,5.84677364e-05,54.26
4,198,0.257034,5.84653244e-05,54.73
4,200,0.266060,5.84629051e-05,55.26
4,202,0.258992,5.84604859e-05,55.78
4,204,0.245840,5.84580703e-05,56.25
4,206,0.307103,5.84556510e-05,56.77
4,208,0.309858,5.84532354e-05,57.20
4,210,0.283290,5.84508125e-05,57.69
4,212,0.280928,5.84483932e-05,58.17
4,214,0.260827,5.84459740e-05,58.63
4,216,0.248486,5.84435547e-05,59.05
4,218,0.288942,5.84411355e-05,59.55
4,220,0.265409,5.84387126e-05,60.03
4,222,0.295695,5.84362933e-05,60.49
4,224,0.303620,5.84338741e-05,60.98
4,226,0.251481,5.84314548e-05,61.47
4,228,0.266888,5.84290356e-05,61.94
4,230,0.291797,5.84266127e-05,62.41
4,232,0.291182,5.84241934e-05,62.84
4,234,0.243157,5.84217705e-05,63.27
4,236,0.296365,5.84193476e-05,63.81
4,238,0.287289,5.84169247e-05,64.29
4,240,0.247206,5.84145055e-05,64.86
4,242,0.296308,5.84120862e-05,65.41
4,244,0.252728,5.84096560e-05,65.90
4,246,0.254450,5.84072368e-05,66.36
4,248,0.247981,5.84048175e-05,66.84
4,250,0.267421,5.84023910e-05,67.32
4,252,0.292277,5.83999681e-05,67.80
4,254,0.282713,5.83975452e-05,68.25
4,256,0.262836,5.83951223e-05,68.72
4,258,0.267575,5.83927031e-05,69.21
4,260,0.267715,5.83902729e-05,69.68
4,262,0.256548,5.83878536e-05,70.13
4,264,0.259478,5.83854235e-05,70.60
4,266,0.299715,5.83830042e-05,71.12
4,268,0.269997,5.83805777e-05,71.58
4,270,0.289730,5.83781512e-05,72.05
4,272,0.284082,5.83757283e-05,72.72
4,274,0.242559,5.83733017e-05,73.22
4,276,0.259625,5.83708788e-05,73.70
4,278,0.256748,5.83684523e-05,74.19
4,280,0.264737,5.83660221e-05,74.68
4,282,0.288952,5.83635992e-05,75.25
4,284,0.225243,5.83611763e-05,75.82
4,286,0.266468,5.83587462e-05,76.34
4,288,0.318942,5.83563196e-05,76.88
4,290,0.266342,5.83538895e-05,77.38
4,292,0.272758,5.83514666e-05,77.87
4,294,0.256719,5.83490364e-05,78.33
4,296,0.275454,5.83466099e-05,78.81
4,298,0.222265,5.83441870e-05,79.33
4,300,0.290628,5.83417568e-05,79.81
4,302,0.254922,5.83393303e-05,80.30
4,304,0.241866,5.83369001e-05,80.88
4,306,0.272245,5.83344736e-05,81.35
4,308,0.312070,5.83320398e-05,81.91
4,310,0.307611,5.83296132e-05,82.39
4,312,0.279127,5.83271831e-05,82.83
4,314,0.293252,5.83247493e-05,83.29
4,316,0.268903,5.83223227e-05,83.78
4,318,0.258421,5.83198962e-05,84.26
4,320,0.273339,5.83174660e-05,84.74
4,322,0.257689,5.83150322e-05,85.19
4,324,0.251206,5.83126021e-05,85.70
4,326,0.327319,5.83101719e-05,86.18
4,328,0.275326,5.83077453e-05,86.72
4,330,0.320650,5.83053079e-05,87.21
4,332,0.284034,5.83028814e-05,87.71
4,334,0.251040,5.83004512e-05,88.19
4,336,0.259254,5.82980138e-05,88.66
4,338,0.266308,5.82955872e-05,89.14
4,340,0.284228,5.82931534e-05,89.57
4,342,0.246938,5.82907232e-05,90.02
4,344,0.251833,5.82882894e-05,90.50
4,346,0.244883,5.82858556e-05,90.96
4,348,0.247659,5.82834255e-05,91.45
4,350,0.275736,5.82809917e-05,91.88
4,352,0.238279,5.82785542e-05,92.33
4,354,0.270003,5.82761277e-05,92.81
4,356,0.249352,5.82736902e-05,93.35
# RESTART AT EPOCH 4
4,0,0.263102,5.87031755e-05,4.33
4,2,0.260032,5.87006944e-05,5.22
4,4,0.304140,5.86982060e-05,5.79
4,6,0.306352,5.86957249e-05,6.67
4,8,0.233885,5.86932438e-05,7.17
4,10,0.271574,5.86907554e-05,7.63
4,12,0.298186,5.86882743e-05,8.09
4,14,0.289521,5.86857896e-05,8.59
4,16,0.276500,5.86833048e-05,9.07
4,18,0.269572,5.86808164e-05,9.58
4,20,0.258535,5.86783317e-05,10.10
4,22,0.278837,5.86758470e-05,10.66
4,24,0.234981,5.86733659e-05,11.22
4,26,0.231725,5.86708775e-05,11.69
4,28,0.242709,5.86683927e-05,12.24
4,30,0.283786,5.86659044e-05,12.82
4,32,0.265174,5.86634196e-05,13.33
4,34,0.243304,5.86609312e-05,13.88
4,36,0.239439,5.86584465e-05,14.34
4,38,0.279191,5.86559581e-05,14.85
4,40,0.285492,5.86534734e-05,15.40
4,42,0.241613,5.86509814e-05,15.87
4,44,0.264576,5.86484894e-05,16.34
4,46,0.237142,5.86460046e-05,16.80
4,48,0.273486,5.86435162e-05,17.32
4,50,0.228755,5.86410315e-05,17.85
4,52,0.243278,5.86385395e-05,18.35
4,54,0.246454,5.86360475e-05,18.88
4,56,0.264153,5.86335627e-05,19.44
4,58,0.246994,5.86310744e-05,19.99
4,60,0.257193,5.86285787e-05,20.46
4,62,0.266243,5.86260940e-05,21.02
4,64,0.242417,5.86236019e-05,21.59
4,66,0.273396,5.86211099e-05,22.19
4,68,0.275293,5.86186216e-05,22.78
4,70,0.274427,5.86161295e-05,23.30
4,72,0.274421,5.86136412e-05,23.79
4,74,0.227165,5.86111491e-05,24.36
4,76,0.271518,5.86086571e-05,24.91
4,78,0.260653,5.86061651e-05,25.44
4,80,0.301776,5.86036767e-05,25.99
4,82,0.248040,5.86011847e-05,26.52
4,84,0.272162,5.85986891e-05,27.01
4,86,0.268681,5.85961934e-05,27.52
4,88,0.274311,5.85937087e-05,28.00
4,90,0.232968,5.85912130e-05,28.48
4,92,0.270264,5.85887174e-05,28.97
